topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
4,10,2,1000000,1,0,1,1000,1024,10000,5,29,877.58333333333337
4,1,2,1000000,10,1,1,1000,512,10000,5,0,4166.083333333333
2,1,2,10,10,0,1,10,1024,100,2,0,6391.416666666667
4,1,4,1000000,1,1,1000,10,1024,100,2,0,6024.0
2,10,4,10,10,0,1,1000,512,10000,5,29,6295.333333333333
2,10,2,10,10,1,1000,10,512,100,2,29,8983.9166666666661
4,1,4,10,10,1,1,10,512,100,5,29,3055.25
2,1,4,10,10,0,1,1000,1024,10000,2,0,6077.0
2,10,4,10,10,0,1,10,1024,100,5,29,6101.75
4,10,2,1000000,10,1,1,10,1024,100,2,29,4202.666666666667
4,1,2,1000000,1,0,1,1000,1024,10000,2,29,877.41666666666663
4,1,4,10,10,0,1000,10,1024,100,2,29,4131.0
2,1,4,1000000,1,1,1,1000,1024,10000,5,0,917.16666666666663
4,1,4,10,10,1,1,10,1024,100,5,0,2995.25
2,10,2,10,1,1,1,10,512,100,5,0,912.08333333333337
4,10,2,1000000,1,0,1000,10,1024,100,2,29,6900.666666666667
2,1,2,1000000,10,1,1,10,1024,100,2,29,6376.416666666667
4,1,4,1000000,1,1,1,10,1024,100,5,0,865.75
2,1,4,1000000,1,1,1000,1000,1024,10000,5,0,9158.0
4,1,2,1000000,10,1,1000,1000,512,10000,5,0,5438.5
4,1,2,10,10,0,1,10,512,100,5,29,4202.416666666667
2,10,2,10,10,0,1000,10,1024,100,2,0,9003.0
4,10,2,10,10,0,1,1000,1024,10000,2,29,4193.5
2,1,2,10,10,1,1,1000,1024,10000,2,29,6331.333333333333
4,1,2,1000000,10,0,1,1000,1024,10000,2,29,4027.25
2,10,2,10,10,1,1000,1000,1024,10000,2,29,9066.5
4,10,4,10,10,1,1000,10,1024,100,5,0,3715.5833333333335
2,1,4,10,10,1,1000,10,1024,100,5,0,7696.333333333333
2,1,4,10,10,0,1000,1000,1024,10000,2,0,8372.0
2,1,4,10,10,0,1,10,1024,100,5,29,6096.5
2,10,4,10,1,1,1,10,1024,100,5,29,906.66666666666663
2,10,4,1000000,10,0,1,10,512,100,2,29,6261.083333333333
2,1,2,10,1,1,1000,10,1024,100,2,29,9531.0
4,1,2,10,10,0,1000,10,512,100,2,0,5269.5
2,1,4,1000000,1,1,1,1000,1024,10000,2,29,895.33333333333337
2,10,2,10,1,0,1,10,1024,100,5,0,900.41666666666663
4,10,4,1000000,1,0,1000,1000,1024,10000,5,0,6048.583333333333
2,1,4,1000000,10,0,1000,1000,512,10000,5,29,8277.75
4,10,4,10,10,0,1,10,512,100,2,29,3007.0
2,1,4,1000000,1,1,1,1000,512,10000,2,0,901.58333333333337
2,1,4,1000000,1,1,1,10,512,100,5,0,897.75
4,1,2,1000000,1,0,1000,1000,1024,10000,5,0,7497.166666666667
4,10,4,1000000,1,0,1000,10,1024,100,2,0,6318.166666666667
2,10,2,1000000,10,0,1,1000,512,10000,5,0,6553.166666666667
4,1,2,1000000,10,1,1000,10,1024,100,5,0,5561.083333333333
2,1,4,10,1,1,1000,10,512,100,2,29,8859.6666666666661
4,1,4,1000000,10,1,1000,10,512,100,2,0,4139.416666666667
2,10,2,10,10,1,1000,1000,1024,10000,5,0,8598.25
4,10,4,10,1,1,1000,10,512,100,2,29,6094.333333333333
2,1,2,1000000,10,0,1000,10,512,100,2,0,8832.3333333333339
2,1,2,10,10,1,1,10,1024,100,2,29,6384.25
4,10,4,1000000,1,0,1,10,1024,100,5,29,875.83333333333337
4,10,2,10,1,0,1000,10,1024,100,2,29,7418.5
2,10,2,10,10,0,1,10,1024,100,5,29,6451.0
4,1,2,1000000,1,1,1000,1000,512,10000,2,0,6827.083333333333
2,10,4,10,1,0,1000,1000,512,10000,5,0,9295.0833333333339
4,1,2,1000000,10,1,1,10,512,100,5,0,4174.833333333333
2,1,2,1000000,10,1,1000,1000,1024,10000,2,29,9276.25
4,10,2,1000000,1,1,1000,10,512,100,5,0,7316.666666666667
